Unnamed: 0,core,time,section,face,ACorDC,AC_col_sp,DC_col_sp,DC_volt,note,mm_per_encode_step,num_tracks,ACDC_offset,laser_offset,Y_left,Y_right,AC_edgespace,DC_edgespace,idx1_raw,idx1_rel,idx2_rel,idx3_rel,idx_abs,xmin,xmax,header
100,ALHIC2302,2024-07-17-09-08,11,t,DC,10,25,1000,,0.25,8,305,-10,23.11945703,153.035,18,10,1.7046875,0,0,0,9.37,22.596875,1018.810938,22
101,ALHIC2302,2024-07-16-13-27,12,l,AC,10,25,1000,,0.25,7,305,-10,41.57860937,168.1251797,18,10,19.1328125,0,0,0,10.34,179.9171875,1021.148438,22
102,ALHIC2302,2024-07-16-13-14,12,l,DC,10,25,1000,one pebble 20cm from bottom. small cracks,0.25,8,305,-10,41.57860937,168.1251797,18,10,19.1328125,0,0,0,10.34,179.9171875,1021.148438,22
103,ALHIC2302,2024-07-16-14-32,12,t,AC,10,25,1000,,0.25,7,305,-10,58.26422656,179.1979922,18,10,31.078125,0,0,0,10.34,88.6140625,1041.732813,22
104,ALHIC2302,2024-07-16-14-14,12,t,DC,10,25,1000,MIGHT ACTUALLY BE TOP,0.25,8,305,-10,58.26422656,179.1979922,18,10,31.078125,0,0,0,10.34,88.6140625,1041.732813,22
105,ALHIC2302,2024-07-16-10-55,13,l,AC,10,25,1000,,0.25,7,305,-10,37.49278125,167.6057695,18,10,24.6140625,0,0,0,11.41,29.5046875,886.70625,22
106,ALHIC2302,2024-07-16-10-41,13,l,DC,10,25,1000,,0.25,8,305,-10,37.49278125,167.6057695,18,10,24.6140625,0,0,0,11.41,29.5046875,886.70625,22
107,ALHIC2302,2024-07-16-11-35,13,t,AC,10,25,1000,,0.25,7,305,-10,40.23419531,158.1110312,18,10,19.284375,0,0,0,11.41,28.46875,951.51875,22
108,ALHIC2302,2024-07-16-11-23,13,t,DC,10,25,1000,pockets at mid depth with button. 2x small rocks.,0.25,7,305,-10,40.23419531,158.1110312,18,10,19.284375,0,0,0,11.41,28.46875,951.51875,22
109,ALHIC2302,2024-07-16-09-18,14,l,AC,10,25,1000,,0.25,7,305,-10,46.62289062,169.7101992,18,10,17.8359375,0,0,0,12.41,38.6140625,981.80625,22
110,ALHIC2302,2024-07-16-08-49,14,l,DC,10,25,1000,,0.25,8,305,-10,45.2993125,169.650668,18,10,38.0703125,0,0,0,12.41,61.1421875,1004.5125,22
111,ALHIC2302,2024-07-15-15-43,14,t,AC,10,25,1000,,0.25,7,305,-10,41.29137109,170.3298203,18,10,12.4890625,0,0,0,12.41,43.5640625,983.815625,22
112,ALHIC2302,2024-07-15-15-33,14,t,DC,10,25,1000,,0.25,8,305,-10,41.29137109,170.3298203,18,10,12.4890625,0,0,0,12.41,43.5640625,983.815625,22
113,ALHIC2302,2024-07-15-14-49,15,l,AC,10,25,1000,,0.25,7,305,-10,39.76836328,170.3119609,18,10,26.846875,0,0,0,13.4,59.2984375,1080.317188,22
114,ALHIC2302,2024-07-15-14-39,15,l,DC,10,25,1000,,0.25,8,305,-10,39.76836328,170.3119609,18,10,26.846875,0,0,0,13.4,59.2984375,1080.317188,22
115,ALHIC2302,2024-07-15-13-52,15,t,AC,10,25,1000,,0.25,7,305,-10,43.65277734,173.5881641,18,10,28.8265625,0,0,0,13.4,48.015625,1071.503125,22
116,ALHIC2302,2024-07-15-13-37,15,t,DC,10,25,1000,small cracks,0.25,8,305,-10,43.65277734,173.5881641,18,10,28.8265625,0,0,0,13.4,48.015625,1071.503125,22
117,ALHIC2302,2024-04-17-10-36,155_2,l,AC,10,25,1000,,0.25,9,305,-10,26.44378125,143.6727187,18,10,180.6296875,0,0,0,126.4,196.15,718.209375,22
118,ALHIC2302,2024-04-17-10-21,155_2,l,DC,10,25,1000,,0.25,11,305,-10,26.44378125,143.6727187,18,10,180.6296875,0,0,0,126.4,196.15,718.209375,22
119,ALHIC2302,2024-04-18-14-29,155_2,r,AC,10,25,1000,,0.25,9,305,-10,41.21447656,159.1156211,18,10,192.16875,0,0,0,126.4,216.159375,770.996875,22
